,us_ew_cc,jp_ew_cc_prev,exec_date,jp_ew_oc_next,pred,pred_up,actual_up,correct,timed_return,beta_const,beta_us_ew_cc,beta_jp_ew_cc_prev
2024-08-01,-0.006178716385037541,-0.035810650832219945,2024-08-02 00:00:00,-0.019300393713189284,0.0016942202632267997,True,False,False,-0.019300393713189284,-9.281573313566989e-05,-0.0291655867142942,-0.04487017327274913
2024-08-02,-0.014839767754666383,-0.053388820811168004,2024-08-05 00:00:00,-0.05072142615796315,0.0008837226511243202,True,False,False,-0.05072142615796315,-0.000181975516097864,-0.016288273491945615,-0.015433642454692678
2024-08-05,-0.02570120876008728,-0.11221808087106097,2024-08-06 00:00:00,0.00608112225477031,-0.011396973424033566,False,True,False,-0.00608112225477031,-0.000489775010126073,0.03755949631648155,0.08859422546690249
2024-08-06,0.010728023316201202,0.0764030348259224,2024-08-07 00:00:00,0.04896102053850663,0.0027329171092277792,True,True,True,0.04896102053850663,-0.00042128903862386977,0.018592521791369707,0.03867313840738111
2024-08-07,-0.005712983956426983,0.03930617164175249,2024-08-08 00:00:00,-0.000548820436852455,0.004355647191545803,True,False,False,-0.000548820436852455,-0.00025450578478333893,0.02161070219288709,0.1204292957957779
2024-08-08,0.01781982697668627,-0.01656362511119774,2024-08-09 00:00:00,-0.012366597145608348,-0.0017347220887191275,False,False,True,0.012366597145608348,-0.00028867595540701523,0.026506835903051307,0.11581965601883755
2024-08-09,0.0033784824519437814,0.002864756675256306,2024-08-13 00:00:00,0.015223562036164106,3.558834553183055e-05,True,True,True,0.015223562036164106,-0.00034109998585234814,0.008219506530784626,0.12179703631376237
2024-08-13,0.010670997487953849,0.023100904094515543,2024-08-14 00:00:00,0.004881025484570987,0.002651605905239357,True,True,True,0.004881025484570987,-0.00028766813866709716,0.011443464983208237,0.1219502425658735
2024-08-14,0.002509646108819097,0.011857527087791538,2024-08-15 00:00:00,0.005811829489515184,0.0012145400535543823,True,True,True,0.005811829489515184,-0.00027602986691725143,0.013010303199748621,0.12295301143970358
2024-08-15,0.012167963416646822,0.01035669437146336,2024-08-16 00:00:00,0.004677979909466521,0.0011544309487450167,True,True,True,0.004677979909466521,-0.00028598287491689365,0.012639939826617097,0.12422993786590067
2024-08-16,0.0018977791943684793,0.027013122911015514,2024-08-19 00:00:00,-0.00658105456694941,0.0030823216253046664,True,False,False,-0.00658105456694941,-0.00029240069480488795,0.01955859594398178,0.12355492679060018
2024-08-19,0.007742082232725736,-0.012250917763439803,2024-08-20 00:00:00,0.002368333508704585,-0.0016245296036631368,False,True,False,-0.002368333508704585,-0.0003333527574612406,0.020068474423830057,0.11807675583240393
2024-08-20,-0.003019633288792602,0.012898278515049034,2024-08-21 00:00:00,0.007318601748519465,0.001092371324425407,True,True,True,0.007318601748519465,-0.0003317458419917305,0.02267966314380465,0.11572098016671634
2024-08-21,0.005385788983591494,-0.007077002010244422,2024-08-22 00:00:00,0.001093761494869688,-0.0010302252669672901,False,True,False,-0.001093761494869688,-0.00027489617939157826,0.01661139857644464,0.11937181504369782
2024-08-22,-0.003519405744765654,0.002029574812978921,2024-08-23 00:00:00,0.007242250082393007,-7.630714603230779e-05,False,True,False,-0.007242250082393007,-0.00025889119075062984,0.016437384684471756,0.11846514317591311
